Tidstämpel,Which task does this form consider?,What is the level of your group?,Did you find this task engaging?,"OPTIONAL: Comment on the level of engagment (what was the least engaging part, anything you'd change, etc):","How many hours did you spend on this exercise? If more than ten, please leave a comment.","OPTIONAL: Comment on the time consumption (did you find something confusing, were there a lack of examples, etc):",How  would you rate the difficulty of this exercise?,"OPTIONAL: Comment on the task difficulty (if something was particularly easy or hard, suggestions etc)",OPTIONAL: Any other feedback that comes in mind that could improve the task:
2022-09-16 15.09.35,2,Regular,5,"The engaging part was being able to make a program that was similar to the old pokemon games. It was also pretty interesting getting to learn more about fields, getters & setters as well as constructors",2,"I think it was pretty straight forward, there wasn't anything too confusing besides there not being any instructions on if the indamons should fight until one of them faints or not.",2,,
2022-09-16 15.09.57,2,Regular,2,I thought that it was very easy.,2,,1,I thought that it was quite easy would me more fun and engaging if we represented the mosnters with actual animation. And if we werer to learn about how to do animations.,"I would want to implement some animation, that would be more fun."
2022-09-16 15.12.40,2,Regular,6,,8,,6,I thought step 4 was the most confusing,
2022-09-16 15.13.04,2,Regular,4,,1,,2,,
2022-09-16 15.14.36,2,Regular,6,Figuring out how to implement the attack method and how to change the hp after the attack was fun ,6,Figuring out how to take the attack of one Indamon and the defense of another and using them in the same method took some time,4,,
2022-09-16 15.18.31,2,Regular,5,,3,,5,,
2022-09-16 15.19.34,2,Regular,5,,2,,2,,
2022-09-16 15.20.23,2,Regular,7,,5,,6,,
2022-09-16 15.20.31,2,Regular,3,,2,,2,,
2022-09-16 15.20.38,2,Regular,4,,2,,2,,
2022-09-16 15.20.42,1,"Beginner, Regular",7,,10,,5,,
2022-09-16 15.20.49,2,Regular,5,,2,,2,,
2022-09-16 15.21.45,2,Regular,7,,6,,5,The attack method was hard until you got it to work,
2022-09-16 15.21.50,2,Regular,4,,10,,7,,
2022-09-16 15.21.55,2,Regular,4,,3,,2,,
2022-09-16 15.21.55,2,Regular,4,,7,,3,,
2022-09-16 15.21.57,2,Regular,4,,1,,2,,
2022-09-16 15.22.12,2,Regular,4,it was pretty hard,10,,7,,
2022-09-16 15.22.39,2,Regular,5,The least engaging parts were 2.0 and 2.1,3,I would prefer more examples of  for example how the constructor works.,5,,
2022-09-16 15.22.45,2,Regular,5,"not really, just completed it fast which made it a 5 instead of a 7 but I know that other people had problems with it therefore they might have found this more engaging",4,"Not really, but I also read the books pages before hand which might have made it more clear",3,might have been slightly unlcear if u were supposed to keep the setters or getter after the creation of the constructor but otherwise pretty clear ,
2022-09-16 15.23.19,2,Regular,5,,10,I found excercie 2.4 confusing because it didn't know how to incorporate and instance of an object into the parameter of the function.,4,,
2022-09-16 15.24.14,2,Regular,4,,3,I wasn't entirely sure if I were supposed to return any values,3,"I found it hard to create the attack method, because I didn't know how to pass two objects' data into a method",
2022-09-16 15.37.40,2,Beginner,4,,7,,5,"I miss the explaining about the getters and setters. I tried to watch some YouTube videos but still doesn't exactly know how it works. Should have gone through the basics in how to make a program look good as well. 
",
2022-09-16 15.39.19,2,"Beginner, Regular",7,"My engagement stemmed from the inspiration the exercise gave me. I see something that kind of resembles a game and I want to expand and make it more fun. So I sat with some experienced friends after I finished the standard exercise and just did exactly what i wanted to do. A fight with a random outcome. Learning from others and actively trying to understand the concepts more deeply and also trying to understand new concepts like import and try/catch was nice. Also how I had to understand the probabilities using random variables. I think exercises can benefit from being something recognizable so we have possibility to expand and find stuff interesting instead of writing exactly to your blueprints.

I didn't find any part to be boring",10,I used up a lot of afternoons and evenings this week to really understand the code. I have a really hard time understanding so I think it was more on my side than the exercise.,5,It was relatively tiresome to understand how the attack method should be written. But there are a lot of help online and after a while I understood the concept of having an object in the method and how to use it. ,Maybe some good links to external help and instructions on how to effectively search for information online
2022-09-16 15.42.35,2,Regular,5,,5,,4,,
2022-09-16 16.14.23,2,Regular,6,,3,,3,,
2022-09-16 16.15.00,1,Regular,6,,2,,1,,
2022-09-16 16.15.13,2,Regular,5,,4,,5,This is brand new to me as I never used java before so I was specially needing of assistance from the material and others,
2022-09-16 16.15.20,2,Regular,7,,1,,1,,
2022-09-16 16.15.31,2,Regular,6,,4,,3,,
2022-09-16 16.15.46,2,Regular,6,,2,,6,,
2022-09-16 16.15.47,2,Regular,5,,7,,5,,
2022-09-16 16.16.05,2,Regular,4,,5,,6,2.0-2.3 was fairly easy and/or fun to figure out. The sudden jump to 2.4 felt like too much and ended up being 90% of my time spent on the assignment.,
2022-09-16 16.16.25,2,Regular,5,,2,,3,,
2022-09-16 16.16.43,2,Regular,4,,2,"Separating the tasks was very confusing, not sure what to remove",4,,
2022-09-16 16.17.23,2,Regular,5,,5,I had some difficulty with the constructor. In the begining I found it a bit confusing. ,4,,
2022-09-16 16.17.23,2,Regular,3,The concept was pretty fun. But all in all it was kind of ok.,6,The attack method wasn't specified too well. I wanted to know exactly what is should have said and so on...,5,,
2022-09-16 16.17.26,1,Regular,5,,1,There was seeminly no info about returning info until the material of the following week's task.,4,It was fairly easy with the exception of having to figure out that we need a return and what a return is in the first place.,
2022-09-16 16.17.34,2,Regular,6,A bit difficult to figure out what to do,7,,6,With not much knowledge this early in the course 2.4 was a bit difficult and took time,Could have more resources where to learn how to solve it
2022-09-16 16.17.52,2,Regular,7,,3,,3,,
2022-09-16 16.17.55,2,Regular,6,,2,,5,,
2022-09-16 16.37.10,2,Regular,6,"I don't think the task itself was difficult in hindsight, but I think the instructions could've been clearer. That was the part that made it take more time than necessary",5,"I think the way the tasks were phrased could be confusing, it was sometimes hard to understand what to do exactly.",3,,"For me it is the instructions that have to be a bit clearer, otherwise everything is good"
2022-09-16 22.46.02,2,Beginner,7,,6,,5,"Maybe give a little more detailed explanation of how to solve the task, because the hardest part isn't understanding what to do. For me at least, it is figuring out how the java syntax works with very few indicators in the instructions ",I think I found 2 or 3 spelling mistakes
2022-09-17 09.34.43,2,Beginner,4,Yes give much more examples like 2.5 with links to explanations and you have to change and you start to understand more its awesome,7,It was alright with the examples but i would like them to be closely explained line for line please,5,It was pretty much a little hard all the time but got better flow towards the end,Generally more examples and explanations
2022-09-17 10.43.17,2,Beginner,4,,9,,6,,
2022-09-17 10.52.39,2,Beginner,6,,8,Is was difficult to to understand task 2.4.,6,,
2022-09-17 20.51.02,2,Beginner,5,,10,,7,,
2022-09-19 07.42.09,2,Beginner,4,,10,,6,,
2022-09-19 10.14.23,2,"Beginner, Regular",6,,10,Constructs were (and still are) super confusing. The attack damege function still pussels me.,7,Rewitiing code.,
2022-09-19 20.25.29,2,Regular,5,,3,,3,,
2022-09-19 20.26.18,3,Regular,6,,2,,2,,
2022-09-23 13.18.29,3,Regular,5,,1,,3,,
2022-09-23 13.18.52,3,Regular,5,,2,,4,,
2022-09-23 13.18.58,3,Regular,4,,4,,3,,
2022-09-23 13.19.03,3,Regular,6,,3,,3,,
2022-09-23 13.19.07,3,Regular,7,I think the reverse engineering task was really fun and I'd love to see more reverse engineering tasks in the future,2,,2,I already understand if else statements from working in python so my only problems were working with the syntax of the area and triangle type methods.,
2022-09-23 13.19.08,3,Regular,6,,10,,7,Fortfarande svårt med fackspråket. Gör det lite svårare att kunna lösa övningarna ,
2022-09-23 13.19.14,3,Regular,4,,4,,2,,
2022-09-23 13.19.14,3,Regular,3,,3,,2,,
2022-09-23 13.19.19,3,Regular,5,,4,,4,,
2022-09-23 13.19.24,3,Regular,4,Dunno,5,"No
",4,"It was fun, should've been more to do",^^
2022-09-23 13.19.51,3,Regular,5,,3,,3,,
2022-09-23 13.19.57,3,Regular,4,It felt a lot simpler than task 2 with fewer points where I had to think and look up solutions,3,,3,,
2022-09-23 13.20.34,3,Regular,6,,4,,3,,Fun task with math in java
2022-09-23 14.06.13,3,Beginner,7,,3,,4,,
2022-09-23 14.06.18,3,Beginner,5,,5,,4,,
2022-09-23 14.06.20,3,Beginner,6,,4,,5,,
2022-09-23 14.06.31,3,Beginner,5,,4,,3,,
2022-09-23 14.06.48,3,Beginner,6,,6,,5,,
2022-09-23 14.08.00,3,Beginner,3,,1,,1,,
2022-09-23 14.08.16,3,Beginner,6,,6,,3,,
2022-09-23 14.08.29,3,Beginner,7,,5,,3,,
2022-09-23 14.09.00,3,Beginner,6,,4,,5,,
2022-09-23 14.09.27,3,Beginner,4,"3.1 and 3.3, ""validTriangle"" and ""getArea""",5,"In the beginning of the rectangle program i was kind of confused, but realised quick how we had done most of it before and looking at what was already written, you could finish the code pretty easily.",4,"understanding how boolean expressions need to be, some very small changes will make the program misunderstand or not work at all.",
2022-09-23 14.10.55,3,Beginner,7,I thought everything was fun and I learned a lot from it.,4,"Yeah, there was something confusing in the structions.",3,,
2022-09-23 14.11.29,3,Beginner,4,,4,,4,,
2022-09-23 14.11.31,3,Beginner,5,,3,,3,,
2022-09-23 15.11.47,3,Regular,3,,2,,2,,
2022-09-23 15.12.07,3,Regular,3,,2,Okay,2,,
2022-09-23 15.12.14,3,Regular,7,,4,,2,,
2022-09-23 15.12.19,3,Regular,6,,3,,3,,
2022-09-23 15.12.34,3,Regular,5,,3,,1,,
2022-09-23 15.12.46,3,Regular,5,,2,,2,,
2022-09-23 15.13.50,3,Regular,6,,5,,5,,The format of the last exercise was really good and appreciated!
2022-09-23 15.14.53,3,Regular,4,,8,I found it this task in particular to be quite confusing as I’m still not fully sure about last weeks learning goals. This task expected me to understand why I was supposed to implement  constructors and access modifiers while learning  the new concepts for this week. ,7,,
2022-09-23 15.17.25,3,Regular,3,Much easier than before; this relates alot more to math we know,2,,1,,Why do we learn classes and methods before this?
2022-09-23 15.24.47,4,Regular,4,,2,,2,,
2022-09-23 15.25.00,3,Regular,5,,2,,2,,
2022-09-23 15.25.00,3,Regular,4,,3,,4,,
2022-09-23 15.25.14,2,Regular,4,,8,,5,,
2022-09-23 15.25.25,3,Regular,4,,3,,3,,
2022-09-23 15.25.28,3,Regular,7,,4,,5,,
2022-09-23 15.25.36,3,Regular,4,,2,,2,,
2022-09-23 15.25.37,3,Regular,4,,2,,2,,
2022-09-23 15.25.40,3,Regular,7,,10,,7,,
2022-09-23 15.26.00,3,Regular,4,,10,,7,Too hard,"Extremely hard, make it easier!"
2022-09-23 15.26.02,3,Regular,5,,3,,3,,
2022-09-23 15.26.22,3,Regular,4,,2,,3,,
2022-09-23 15.26.29,3,Regular,4,,1,,2,,
2022-09-23 15.26.37,3,Regular,3,,3,,1,,
2022-09-23 15.27.03,3,Regular,4,,2,,3,,
2022-09-23 15.27.03,3,Regular,3,,6,,3,,
2022-09-23 15.29.12,3,Regular,6,,3,Perhaps more examples of converting on data form into another.,4,More on some of the more subtle nuances of constructors. When things are initialized. Methods in constructor etc.,nope
2022-09-23 15.40.26,3,Regular,5,,9,,2,,
2022-09-23 15.47.59,3,Regular,7,"i think it was pretty fun and everything that we needed to know to solve the problem was in oli. Compared to assignment 2 where it didnt say anywhere on oli that you could put object as values in the parameter, which made it really hard to solve assignment 2.",6,"nope, none at all.",4,its perfect,"nope, its litterally perfect."
2022-09-23 15.57.10,3,Regular,6,,3,,3,,
2022-09-23 15.57.56,3,Regular,5,,2,,4,,
2022-09-23 15.58.04,3,Regular,7,,2,,3,,
2022-09-23 15.58.07,3,Regular,4,,2,,2,,
2022-09-23 15.58.45,3,Beginner,4,,3,,3,,
2022-09-23 15.59.31,3,Regular,6,,3,,4,,
2022-09-23 15.59.36,3,Regular,4,,3,,2,,
2022-09-23 16.00.30,3,Regular,3,,2,,1,"Pretty easy task, but still quite nice to learn syntax",
2022-09-23 16.01.40,3,Regular,5,,6,"I found some aspects of the exercise time consuming, some of the parts of the exercise for example if we needed to use a helper method or if it was optional was a bit unclear. ",5,,
2022-09-23 16.01.48,3,Regular,6,,4,Needed to check when there were issues of mixups or double/string/int,4,Had to find out yourself how to do stuff,A bit more resources to inform and help
2022-09-23 16.50.36,3,Regular,2,,1,,2,,
2022-09-23 16.51.45,2,Regular,5,,3,,5,,
2022-09-23 17.01.32,3,Beginner,6,,4,,4,,
2022-09-23 17.07.06,3,Regular,3,,2,,2,,
2022-09-23 17.10.29,3,Beginner,3,,2,,2,"A bit too easy in my opinion, I would add a bit more work",
2022-09-23 18.56.22,3,Beginner,5,,8,,5,,
2022-09-23 21.54.13,3,Beginner,4,It was very mediocre in engagement but still really helpful. ,4,It as much easier than the last task but only because the last one took much more time to do. And because we learned a lot on the last one,4,"It was really well made and easy to understand. It got me thinking more in ""java"" and made me understand how to use integers more deeply. ",
2022-09-28 16.17.11,4,Regular,5,,4,,4,,
2022-09-28 17.09.30,4,Regular,3,Too repetitious,8,no explanation for how to use % to solve 4.3.5,5,couldn't solve 4.3.5 with %,
2022-09-29 20.33.50,4,Regular,6,,7,"I would like to see an exemple of the ""toString""-method",5,,
2022-09-30 09.51.05,4,Regular,4,,1,,3,,
2022-09-30 13.12.38,4,Regular,4,,2,,3,,
2022-09-30 13.12.58,4,Regular,5,Clock was fun,2,,4,,
2022-09-30 13.13.55,4,Regular,4,,4,"It's kind of hard to understand what the individual exercises wants, or expects me to do sometimes.",5,,
2022-09-30 13.16.16,4,Regular,4,,6,More information about modulo would have been nice and format (zero padding) as well as rounding. ,5,,
2022-09-30 13.31.31,4,Regular,6,,4,,3,,
2022-09-30 14.06.05,4,Beginner,5,,7,,6,,
2022-09-30 14.06.19,4,Beginner,6,,6,,7,,
2022-09-30 14.06.49,4,Beginner,5,none,3,"Lack of examples yes, i had to figure it out by thinking really hard",4,,
2022-09-30 14.07.11,4,Beginner,4,,7,,6,,
2022-09-30 14.07.11,4,Beginner,5,,6,,6,,
2022-09-30 14.07.12,4,Beginner,7,,8,,6,,"possibly more elaborated instructions. sometimes I find myself struggling with understanding what's sought after, now writing the actual code. "
2022-09-30 14.07.13,4,Beginner,7,the clock.java project ,8,toString method and Tick method were confusing ,6,getting started on both toString and Tick methods,
2022-09-30 14.07.48,4,Beginner,7,,6,,6,The first couple of exercises ,
2022-09-30 14.09.30,4,Beginner,4,,10,I think the examples made the task more confusing in some cases. It also took a lot of re-reading to understand exactly what I was supposed to do. More than usual.,7,"The OLI task was not that helpful this time, and the lecture didn't cover everything as well as before.",
